2026-04-26 11:34:39,620 | INFO | __main__ | Starting training run with args: {'model': 'advanced_xgb', 'tune': False, 'make_submission': False, 'download_data': False, 'dataset_slug': 'nicapotato/womens-ecommerce-clothing-reviews', 'cv_f1': True, 'cv_splits': 3, 'mlflow': False, 'mlflow_experiment': None}
2026-04-26 11:34:39,620 | INFO | __main__ | Logs will be written to: C:\Users\akhil\OneDrive\Documents\ML Kaggle DS Projects\womens-e-commerce-reviews\logs\train_advanced_xgb_20260426_113439.log
2026-04-26 11:34:39,621 | INFO | __main__ | Loading data from: C:\Users\akhil\OneDrive\Documents\ML Kaggle DS Projects\womens-e-commerce-reviews\data\raw\Womens Clothing E-Commerce Reviews.csv
2026-04-26 11:34:39,702 | DEBUG | __main__ | Raw dataset shape: (23486, 11)
2026-04-26 11:34:39,719 | DEBUG | __main__ | Post-cleaning dataset shape: (23486, 11)
2026-04-26 11:34:39,733 | DEBUG | __main__ | Text feature generated.
2026-04-26 11:34:39,745 | INFO | __main__ | Split complete: train_rows=18788, valid_rows=4698
2026-04-26 11:34:40,207 | INFO | __main__ | Running 3-fold CV (F1) on training split...
2026-04-26 11:37:06,427 | INFO | __main__ | CV F1 mean=0.9636 std=0.0025 folds=[0.9612614366361689, 0.9624016321772079, 0.9670095090238696]
2026-04-26 11:37:06,432 | INFO | __main__ | Wrote CV report JSON to: C:\Users\akhil\OneDrive\Documents\ML Kaggle DS Projects\womens-e-commerce-reviews\data\processed\cv_reports\cv_f1_advanced_xgb_20260426_113706.json
2026-04-26 11:37:06,433 | INFO | __main__ | Training model: advanced_xgb
2026-04-26 11:37:47,556 | INFO | __main__ | Training complete.
2026-04-26 11:37:48,092 | INFO | __main__ | Validation metrics: {'accuracy': 0.9395487441464453, 'f1': 0.9633074935400516, 'roc_auc': 0.9764075266500394, 'log_loss': 0.1494578668408755}
2026-04-26 11:37:48,433 | INFO | __main__ | Saved model to: C:\Users\akhil\OneDrive\Documents\ML Kaggle DS Projects\womens-e-commerce-reviews\models\advanced_xgb_pipeline.joblib
2026-04-26 11:37:48,433 | INFO | __main__ | Run completed successfully.
