2026-04-26 11:34:04,109 | INFO | __main__ | Starting training run with args: {'model': 'baseline', 'tune': False, 'make_submission': False, 'download_data': False, 'dataset_slug': 'nicapotato/womens-ecommerce-clothing-reviews', 'cv_f1': True, 'cv_splits': 3, 'mlflow': False, 'mlflow_experiment': None}
2026-04-26 11:34:04,110 | INFO | __main__ | Logs will be written to: C:\Users\akhil\OneDrive\Documents\ML Kaggle DS Projects\womens-e-commerce-reviews\logs\train_baseline_20260426_113404.log
2026-04-26 11:34:04,111 | INFO | __main__ | Loading data from: C:\Users\akhil\OneDrive\Documents\ML Kaggle DS Projects\womens-e-commerce-reviews\data\raw\Womens Clothing E-Commerce Reviews.csv
2026-04-26 11:34:04,205 | DEBUG | __main__ | Raw dataset shape: (23486, 11)
2026-04-26 11:34:04,225 | DEBUG | __main__ | Post-cleaning dataset shape: (23486, 11)
2026-04-26 11:34:04,237 | DEBUG | __main__ | Text feature generated.
2026-04-26 11:34:04,251 | INFO | __main__ | Split complete: train_rows=18788, valid_rows=4698
2026-04-26 11:34:04,251 | INFO | __main__ | Running 3-fold CV (F1) on training split...
2026-04-26 11:34:04,632 | INFO | __main__ | CV F1 mean=0.9601 std=0.0010 folds=[0.9613690952762209, 0.9588164734106357, 0.9602318145483613]
2026-04-26 11:34:04,634 | INFO | __main__ | Wrote CV report JSON to: C:\Users\akhil\OneDrive\Documents\ML Kaggle DS Projects\womens-e-commerce-reviews\data\processed\cv_reports\cv_f1_baseline_20260426_113404.json
2026-04-26 11:34:04,634 | INFO | __main__ | Training model: baseline
2026-04-26 11:34:04,766 | INFO | __main__ | Training complete.
2026-04-26 11:34:04,784 | INFO | __main__ | Validation metrics: {'accuracy': 0.9367816091954023, 'f1': 0.960489557004124, 'roc_auc': 0.97215375100175, 'log_loss': 0.1947290662041975}
2026-04-26 11:34:04,791 | INFO | __main__ | Saved model to: C:\Users\akhil\OneDrive\Documents\ML Kaggle DS Projects\womens-e-commerce-reviews\models\baseline_pipeline.joblib
2026-04-26 11:34:04,791 | INFO | __main__ | Run completed successfully.
